name,gender,mother,spouse,children,
King,Male,,Queen,Chit;Ish;Vich;Aras;Satya,
Queen,Female,,King,Chit;Ish;Vich;Aras;Satya,
Chit,Male,Queen,Amba,Vritha;Dritha;Tritha,
Ish,Male,Queen,,,
Vich,Male,Queen,Lika,Vila;Chika,
Aras,Male,Queen,Chitra,Ahit;Jnki,
Satya,Female,Queen,Vyan,Asva;Vyas;Atya,
Amba,Female,,Chit,Vritha;Dritha;Tritha,
Lika,Female,,Vich,Vila;Chika,
Chitra,Female,,Aras,Ahit;Jnki,
Vyan,Male,,Satya,Asva;Vyas;Atya,
Vritha,Male,Amba,,,
Dritha,Female,Amba,Jaya,Yodhan,
Tritha,Female,Amba,,,
Jaya,Male,,Dritha,Yodhan,
Vila,Female,Lika,,,
Chika,Female,Lika,,,
Ahit,Male,Chitra,,,
Jnki,Female,Chitra,Arit,Laki;Lavnya,
Arit,Male,,Jnki,Laki;Lavnya,
Asva,Male,Satya,Satvy,Vasa,
Satvy,Female,,Asva,Vasa,
Vyas,Male,Satya,Krpi,Krithi;Kriya,
Krpi,Female,,Vyas,Krithi;Kriya,
Atya,Female,Satya,,,
Yodhan,Male,Dritha,,,
Laki,Male,Jnki,,,
Lavnya,Female,Jnki,,,
Vasa,Male,Satvy,,,
Krithi,Female,Krpi,,,
Kriya,Male,Krpi,,,
